Id,Date__c,Start_time__c,End_Time__c,HolidayName__c,On_Call_Type_c__c,RecordType.name,Registered_Manager__c,Registered_SRE__c,Shift_Worked__c,Time_Zone__c,UserRegion__c,UserSubRegion__c,RegionInformation__c,RegionInformation__r.start_time__c,RegionInformation__r.end_time__c
a1j0e000006KyYUAA0,5/10/20,10:00:00.000Z,15:30:00.000Z,Labour Day,Weekend Pay,Weekend OnCall,,00560000002rrrNAAQ,APAC,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibGAAS,10:00:00.000Z,15:30:00.000Z
a1j0e000006KyYVAA0,5/10/20,10:00:00.000Z,15:30:00.000Z,Labour Day,Weekend Pay,Weekend OnCall,,00532000004OMFvAAO,APAC,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibGAAS,10:00:00.000Z,15:30:00.000Z
a1j0e000006KyYWAA0,5/10/20,10:00:00.000Z,15:30:00.000Z,Labour Day,Weekend Pay,Weekend OnCall,,0050e000007347KAAQ,APAC,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibGAAS,10:00:00.000Z,15:30:00.000Z
a1j0e000006KyYXAA0,5/10/20,10:00:00.000Z,15:30:00.000Z,Labour Day,Weekend Pay,Weekend OnCall,,0050e000006SYzNAAW,APAC,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibGAAS,10:00:00.000Z,15:30:00.000Z
a1j0e000006KyYYAA0,5/10/20,10:00:00.000Z,15:30:00.000Z,Labour Day,Weekend Pay,Weekend OnCall,,0050e000006SlIRAA0,APAC,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibGAAS,10:00:00.000Z,15:30:00.000Z
a1j0e000006KyYZAA0,5/10/20,10:00:00.000Z,15:30:00.000Z,Labour Day,Weekend Pay,Weekend OnCall,,0050e0000075SwpAAE,APAC,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibGAAS,10:00:00.000Z,15:30:00.000Z
a1j0e000006KyYaAAK,5/10/20,10:00:00.000Z,15:30:00.000Z,Labour Day,Weekend Pay,Weekend OnCall,,0050e0000075FL7AAM,APAC,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibGAAS,10:00:00.000Z,15:30:00.000Z
a1j0e000006KyYbAAK,5/10/20,10:00:00.000Z,15:30:00.000Z,Labour Day,Weekend Pay,Weekend OnCall,,0050e000006SR6pAAG,APAC,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibGAAS,10:00:00.000Z,15:30:00.000Z
a1j0e000006KyYcAAK,5/10/20,10:00:00.000Z,15:30:00.000Z,Labour Day,Weekend Pay,Weekend OnCall,,0050e0000072PPcAAM,APAC,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibGAAS,10:00:00.000Z,15:30:00.000Z
a1j0e000006KyYdAAK,5/10/20,10:00:00.000Z,15:30:00.000Z,Labour Day,Weekend Pay,Weekend OnCall,,0050e000006SC7TAAW,APAC,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibGAAS,10:00:00.000Z,15:30:00.000Z
a1j0e000006KyYeAAK,5/10/20,10:00:00.000Z,15:30:00.000Z,Labour Day,Weekend Pay,Weekend OnCall,,0050e000006Sc0sAAC,APAC,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibGAAS,10:00:00.000Z,15:30:00.000Z
a1j0e000006KyYfAAK,5/10/20,10:00:00.000Z,15:30:00.000Z,Labour Day,Weekend Pay,Weekend OnCall,,0050e0000075cGKAAY,APAC,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibGAAS,10:00:00.000Z,15:30:00.000Z
a1j0e000006KyYgAAK,5/10/20,10:00:00.000Z,15:30:00.000Z,Labour Day,Weekend Pay,Weekend OnCall,,00532000005iGTbAAM,APAC,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibGAAS,10:00:00.000Z,15:30:00.000Z
a1j0e000006KyYhAAK,5/10/20,10:00:00.000Z,15:30:00.000Z,Labour Day,Weekend Pay,Weekend OnCall,,0050e0000075SwuAAE,APAC,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibGAAS,10:00:00.000Z,15:30:00.000Z
a1j0e000006KyYiAAK,5/10/20,10:00:00.000Z,15:30:00.000Z,Labour Day,Weekend Pay,Weekend OnCall,,0050e000006SSUOAA4,APAC,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibGAAS,10:00:00.000Z,15:30:00.000Z
a1j0e000006KyawAAC,18/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,00532000005S6I7AAK,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006Kyb1AAC,25/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,00532000005RubWAAS,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,CN-Beijing,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006LL4SAAW,9/10/20,17:00:00.000Z,08:59:00.000Z,,Japan_Hours,Japan_Hours,,0050e0000075Sc1AAE,Japan Oncall Shift,(GMT+09:00) Japan Standard Time (Asia/Tokyo),APAC,JP-Tokyo,a1i0e000003XuR0AAK,17:00:00.000Z,08:59:00.000Z
