Id,Date__c,Start_time__c,End_Time__c,HolidayName__c,On_Call_Type_c__c,RecordType.name,Registered_Manager__c,Registered_SRE__c,Shift_Worked__c,Time_Zone__c,UserRegion__c,UserSubRegion__c,RegionInformation__c,RegionInformation__r.start_time__c,RegionInformation__r.end_time__c
a1j0e000006KyaIAAS,24/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,0057V000009MkNp,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006KyaJAAS,24/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,0050e000006SIqAAAW,0050e000006Sc0s,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006KyaKAAS,25/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,005320000057zhjAAA,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,CN-Beijing,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006KyaLAAS,25/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,0057V000009Aw0U,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006KyaMAAS,25/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,0050e000004fYnS,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006KyaNAAS,25/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,0057V000009BVfD,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006KyaOAAS,25/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,0050e000004fSvp,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006KyaPAAS,25/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,0057V000009MiLw,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006KyaQAAS,25/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,0050e000007wEtO,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006KyaRAAS,25/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,0050e000004fG74,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
